STATE,Date,REGION,Day,PMS,AGO,DPK,LPG,Day,PMS,AGO,DPK,LPG,PMS Hourly, AGO Hourly, DPK Hourly, LPG Hourly, PMS DoD, AGO DoD, DPK DoD, LPG DoD
Cross River,3-June,South-South,Morning,₦870.50,₦984.33,₦0.00,₦0.00,Afternoon,₦870.50,₦984.33,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,,,,
Delta,3-June,South-South,Morning,₦855.43,₦947.30,"₦1,010.00",₦900.00,Afternoon,₦854.57,₦947.10,"₦1,010.00",₦900.00,-₦0.86,-₦0.20,₦0.00,₦0.00,,,,
Edo,3-June,South-South,Morning,₦0.00,₦0.00,₦0.00,₦0.00,Afternoon,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,,,,
Lagos,3-June,South-West,Morning,₦829.97,₦924.24,"₦1,017.40",₦885.56,Afternoon,₦829.59,₦924.24,"₦1,017.40",₦885.56,-₦0.38,₦0.00,₦0.00,₦0.00,,,,
Rivers,3-June,South-South,Morning,₦871.00,₦949.00,₦0.00,₦0.00,Afternoon,₦869.57,₦949.00,₦0.00,₦0.00,-₦1.43,₦0.00,₦0.00,₦0.00,,,,
Cross River,4-June,South-South,Morning,₦870.00,₦984.33,₦0.00,₦0.00,Afternoon,₦870.50,₦984.33,₦0.00,₦0.00,₦0.50,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Delta,4-June,South-South,Morning,₦851.75,₦948.10,"₦1,010.00",₦900.00,Afternoon,₦851.75,₦948.10,"₦1,010.00","₦1,045.00",₦0.00,₦0.00,₦0.00,₦145.00,-₦2.82,₦1.00,₦0.00,₦145.00
Edo,4-June,South-South,Morning,₦0.00,₦0.00,₦0.00,₦0.00,Afternoon,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,4-June,South-West,Morning,₦831.17,₦924.24,"₦1,016.80",₦885.56,Afternoon,₦831.17,₦924.24,"₦1,016.80",₦876.25,₦0.00,₦0.00,₦0.00,-₦9.31,₦1.58,₦0.00,-₦0.60,-₦9.31
Rivers,4-June,South-South,Morning,₦869.57,₦949.00,₦0.00,₦0.00,Afternoon,₦869.57,₦949.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
