STATE,REGION,PMS,AGO,DPK,LPG,Date,Change in PMS,Change in AGO,Change in DPK,Change in LPG
,National,"₦1,176.92",₦970.77,"₦1,325.84","₦1,233.60",10-Apr-25,₦1.85,₦0.04,-₦0.07,-₦2.81
Abuja,North Central,"₦1,169.80",₦948.29,"₦1,275.00","₦1,214.00",10-Apr-25,-₦1.70,₦0.08,₦0.00,-₦13.50
Benue,North Central,"₦1,171.00",₦999.00,₦0.00,"₦1,300.00",10-Apr-25,-₦2.00,₦2.50,₦0.00,₦0.00
Kogi,North Central,"₦1,158.50",₦949.38,"₦1,425.00","₦1,304.38",10-Apr-25,₦1.25,₦0.00,₦0.00,₦0.00
Kwara,North Central,"₦1,200.00","₦1,026.88","₦1,225.00","₦1,400.00",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,"₦1,175.00",₦979.29,"₦1,500.00","₦1,366.67",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,"₦1,155.00",₦950.29,"₦1,475.00","₦1,145.00",10-Apr-25,₦0.00,-₦1.38,"₦1,475.00",-₦5.00
Plateau,North Central,"₦1,288.89",₦968.89,"₦1,266.67","₦1,247.78",10-Apr-25,-₦11.11,-₦10.00,-₦16.66,-₦13.33
Adamawa,North East,"₦1,177.22",₦981.11,"₦1,265.56","₦1,210.00",10-Apr-25,₦0.00,-₦1.67,₦0.00,₦0.00
Bauchi,North East,"₦1,262.86",₦991.43,"₦1,472.86","₦1,197.14",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,202.22","₦1,077.78","₦1,475.00","₦1,400.00",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,"₦1,168.89",₦967.22,"₦1,428.89","₦1,238.89",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,"₦1,195.56",₦987.78,"₦1,487.50","₦1,337.50",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Yobe,North East,"₦1,247.78","₦1,025.00","₦1,302.78","₦1,168.89",10-Apr-25,₦0.56,₦0.56,-₦10.00,-₦1.11
Jigawa,North West,"₦1,225.00",₦982.22,"₦1,377.50","₦1,180.00",10-Apr-25,₦25.00,₦8.89,₦90.83,-₦26.67
Kaduna,North West,"₦1,190.00","₦1,077.56","₦1,300.00","₦1,137.50",10-Apr-25,₦0.00,₦0.12,₦0.00,₦0.00
Kano,North West,"₦1,176.43",₦954.50,"₦1,250.00","₦1,400.00",10-Apr-25,-₦1.28,₦0.25,₦0.00,₦0.00
Katsina,North West,"₦1,167.14",₦972.50,"₦1,328.57","₦1,294.00",10-Apr-25,-₦1.43,₦0.00,-₦7.14,₦6.00
Kebbi,North West,"₦1,176.43",₦953.88,"₦1,250.00","₦1,400.00",10-Apr-25,₦0.00,₦0.38,₦0.00,₦0.00
Sokoto,North West,"₦1,159.09",₦975.45,"₦1,300.00","₦1,146.67",10-Apr-25,₦0.52,-₦3.12,₦0.00,₦6.67
Zamfara,North West,"₦1,167.50","₦1,081.63","₦1,200.00","₦1,195.00",10-Apr-25,-₦2.50,-₦11.94,₦0.00,-₦20.71
Abia,South East,"₦1,272.50",₦955.63,"₦1,302.86","₦1,300.00",10-Apr-25,-₦3.21,-₦5.08,-₦0.47,₦0.00
Anambra,South East,"₦1,267.14",₦947.14,"₦1,330.00","₦1,230.00",10-Apr-25,₦77.76,-₦2.86,-₦3.33,-₦3.33
Ebonyi,South East,"₦1,120.00",₦973.75,"₦1,500.00","₦1,250.00",10-Apr-25,₦0.00,-₦1.25,₦0.00,₦0.00
Enugu,South East,"₦1,262.50",₦961.25,"₦1,300.00","₦1,400.00",10-Apr-25,-₦12.50,₦1.25,₦0.00,₦12.50
Imo,South East,"₦1,277.50",₦958.75,"₦1,302.86","₦1,300.00",10-Apr-25,-₦11.07,₦7.32,₦2.86,₦0.00
Akwa Ibom,South South,"₦1,162.86",₦957.50,"₦1,221.43","₦1,111.43",10-Apr-25,₦2.86,₦2.50,₦4.76,-₦7.14
